 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),      Illu%,  ObsSub-LON, ObsSub-LAT,  SunSub-LON, SunSub-LAT,    NP.ang,  NP.dist,     S-T-O,
***********************************************************************************************************************************************
$$SOE
 2052-Jan-02 17:00, , , 19 15 35.48, -17 15 07.1,    0.54630,  355.262354,  -6.555431,  168.419346,   1.525228,  352.3206, -911.139,  171.5272,
 2052-Jan-02 18:00, , , 19 17 48.42, -17 10 53.7,    0.59941,  355.250560,  -6.555882,  167.911502,   1.525170,  352.0966, -911.471,  171.1240,
 2052-Jan-02 19:00, , , 19 20 01.35, -17 06 34.7,    0.65621,  355.239149,  -6.555754,  167.403659,   1.525111,  351.8731, -911.804,  170.7119,
 2052-Jan-02 20:00, , , 19 22 14.27, -17 02 10.0,    0.71670,  355.228118,  -6.555044,  166.895818,   1.525050,  351.6503, -912.139,  170.2921,
 2052-Jan-02 21:00, , , 19 24 27.18, -16 57 39.9,    0.78090,  355.217466,  -6.553753,  166.387979,   1.524988,  351.4283, -912.475,  169.8654,
 2052-Jan-02 22:00, , , 19 26 40.08, -16 53 04.2,    0.84881,  355.207191,  -6.551878,  165.880142,   1.524925,  351.2069, -912.811,  169.4326,
 2052-Jan-02 23:00, , , 19 28 52.96, -16 48 22.9,    0.92041,  355.197292,  -6.549419,  165.372308,   1.524861,  350.9863, -913.149,  168.9944,
 2052-Jan-03 00:00, , , 19 31 05.82, -16 43 36.2,    0.99573,  355.187765,  -6.546375,  164.864475,   1.524796,  350.7664, -913.488,  168.5513,
 2052-Jan-03 01:00, , , 19 33 18.67, -16 38 44.0,    1.07477,  355.178610,  -6.542745,  164.356645,   1.524729,  350.5473, -913.828,  168.1039,
 2052-Jan-03 02:00, , , 19 35 31.50, -16 33 46.3,    1.15751,  355.169824,  -6.538527,  163.848817,   1.524662,  350.3290, -914.169,  167.6526,
 2052-Jan-03 03:00, , , 19 37 44.30, -16 28 43.2,    1.24398,  355.161406,  -6.533722,  163.340992,   1.524593,  350.1116, -914.512,  167.1977,
 2052-Jan-03 04:00, , , 19 39 57.08, -16 23 34.6,    1.33416,  355.153354,  -6.528328,  162.833169,   1.524524,  349.8950, -914.855,  166.7396,
 2052-Jan-03 05:00, , , 19 42 09.83, -16 18 20.7,    1.42806,  355.145665,  -6.522345,  162.325349,   1.524453,  349.6792, -915.199,  166.2786,
 2052-Jan-03 06:00, , , 19 44 22.56, -16 13 01.4,    1.52568,  355.138337,  -6.515772,  161.817532,   1.524382,  349.4644, -915.544,  165.8148,
 2052-Jan-03 07:00, , , 19 46 35.26, -16 07 36.8,    1.62703,  355.131370,  -6.508609,  161.309718,   1.524309,  349.2504, -915.890,  165.3486,
 2052-Jan-03 08:00, , , 19 48 47.92, -16 02 06.8,    1.73209,  355.124760,  -6.500854,  160.801907,   1.524236,  349.0374, -916.237,  164.8801,
 2052-Jan-03 09:00, , , 19 51 00.56, -15 56 31.5,    1.84088,  355.118505,  -6.492509,  160.294098,   1.524161,  348.8253, -916.585,  164.4095,
 2052-Jan-03 10:00, , , 19 53 13.16, -15 50 51.0,    1.95339,  355.112604,  -6.483571,  159.786294,   1.524086,  348.6142, -916.934,  163.9369,
 2052-Jan-03 11:00, , , 19 55 25.73, -15 45 05.2,    2.06962,  355.107054,  -6.474041,  159.278492,   1.524010,  348.4041, -917.284,  163.4625,
 2052-Jan-03 12:00, , , 19 57 38.27, -15 39 14.2,    2.18957,  355.101854,  -6.463918,  158.770694,   1.523933,  348.1951, -917.634,  162.9865,
 2052-Jan-03 13:00, , , 19 59 50.76, -15 33 18.1,    2.31324,  355.097001,  -6.453203,  158.262899,   1.523855,  347.9870, -917.986,  162.5088,
 2052-Jan-03 14:00, , , 20 02 03.22, -15 27 16.7,    2.44062,  355.092494,  -6.441895,  157.755108,   1.523777,  347.7800, -918.338,  162.0296,
 2052-Jan-03 15:00, , , 20 04 15.64, -15 21 10.2,    2.57172,  355.088329,  -6.429994,  157.247321,   1.523697,  347.5741, -918.691,  161.5490,
 2052-Jan-03 16:00, , , 20 06 28.02, -15 14 58.6,    2.70653,  355.084506,  -6.417501,  156.739537,   1.523617,  347.3693, -919.045,  161.0671,
 2052-Jan-03 17:00, , , 20 08 40.36, -15 08 42.0,    2.84505,  355.081021,  -6.404414,  156.231758,   1.523536,  347.1656, -919.400,  160.5840,
 2052-Jan-03 18:00, , , 20 10 52.65, -15 02 20.3,    2.98727,  355.077873,  -6.390734,  155.723982,   1.523454,  346.9630, -919.755,  160.0996,
 2052-Jan-03 19:00, , , 20 13 04.90, -14 55 53.6,    3.13320,  355.075060,  -6.376462,  155.216211,   1.523372,  346.7616, -920.111,  159.6141,
 2052-Jan-03 20:00, , , 20 15 17.10, -14 49 21.9,    3.28283,  355.072580,  -6.361597,  154.708443,   1.523289,  346.5614, -920.468,  159.1276,
 2052-Jan-03 21:00, , , 20 17 29.26, -14 42 45.3,    3.43615,  355.070430,  -6.346140,  154.200681,   1.523205,  346.3623, -920.826,  158.6400,
 2052-Jan-03 22:00, , , 20 19 41.38, -14 36 03.7,    3.59316,  355.068609,  -6.330092,  153.692922,   1.523121,  346.1645, -921.184,  158.1514,
 2052-Jan-03 23:00, , , 20 21 53.44, -14 29 17.3,    3.75386,  355.067113,  -6.313452,  153.185168,   1.523036,  345.9679, -921.543,  157.6619,
 2052-Jan-04 00:00, , , 20 24 05.46, -14 22 26.0,    3.91824,  355.065942,  -6.296221,  152.677419,   1.522951,  345.7726, -921.903,  157.1715,
 2052-Jan-04 01:00, , , 20 26 17.43, -14 15 29.9,    4.08629,  355.065093,  -6.278399,  152.169674,   1.522865,  345.5785, -922.263,  156.6803,
 2052-Jan-04 02:00, , , 20 28 29.34, -14 08 29.0,    4.25801,  355.064564,  -6.259988,  151.661934,   1.522778,  345.3857, -922.623,  156.1882,
 2052-Jan-04 03:00, , , 20 30 41.21, -14 01 23.4,    4.43340,  355.064353,  -6.240988,  151.154199,   1.522691,  345.1942, -922.985,  155.6953,
 2052-Jan-04 04:00, , , 20 32 53.03, -13 54 13.1,    4.61244,  355.064458,  -6.221399,  150.646469,   1.522604,  345.0041, -923.347,  155.2016,
 2052-Jan-04 05:00, , , 20 35 04.80, -13 46 58.1,    4.79513,  355.064876,  -6.201223,  150.138744,   1.522516,  344.8153, -923.709,  154.7071,
 2052-Jan-04 06:00, , , 20 37 16.51, -13 39 38.4,    4.98146,  355.065606,  -6.180460,  149.631024,   1.522427,  344.6278, -924.072,  154.2120,
 2052-Jan-04 07:00, , , 20 39 28.17, -13 32 14.2,    5.17143,  355.066646,  -6.159111,  149.123310,   1.522339,  344.4417, -924.435,  153.7161,
 2052-Jan-04 08:00, , , 20 41 39.78, -13 24 45.4,    5.36502,  355.067993,  -6.137178,  148.615601,   1.522250,  344.2571, -924.799,  153.2195,
 2052-Jan-04 09:00, , , 20 43 51.34, -13 17 12.0,    5.56224,  355.069646,  -6.114661,  148.107898,   1.522160,  344.0738, -925.163,  152.7223,
 2052-Jan-04 10:00, , , 20 46 02.84, -13 09 34.2,    5.76306,  355.071602,  -6.091561,  147.600200,   1.522070,  343.8920, -925.528,  152.2245,
 2052-Jan-04 11:00, , , 20 48 14.29, -13 01 52.0,    5.96748,  355.073860,  -6.067879,  147.092507,   1.521980,  343.7116, -925.893,  151.7260,
 2052-Jan-04 12:00, , , 20 50 25.69, -12 54 05.3,    6.17549,  355.076417,  -6.043618,  146.584821,   1.521890,  343.5327, -926.259,  151.2268,
 2052-Jan-04 13:00, , , 20 52 37.03, -12 46 14.3,    6.38708,  355.079272,  -6.018778,  146.077140,   1.521800,  343.3553, -926.625,  150.7271,
 2052-Jan-04 14:00, , , 20 54 48.32, -12 38 18.9,    6.60224,  355.082423,  -5.993360,  145.569466,   1.521709,  343.1793, -926.991,  150.2268,
 2052-Jan-04 15:00, , , 20 56 59.56, -12 30 19.3,    6.82097,  355.085867,  -5.967366,  145.061797,   1.521618,  343.0049, -927.358,  149.7260,
 2052-Jan-04 16:00, , , 20 59 10.74, -12 22 15.4,    7.04324,  355.089603,  -5.940798,  144.554135,   1.521527,  342.8320, -927.724,  149.2245,
 2052-Jan-04 17:00, , , 21 01 21.87, -12 14 07.3,    7.26905,  355.093629,  -5.913657,  144.046479,   1.521436,  342.6607, -928.092,  148.7226,
 2052-Jan-04 18:00, , , 21 03 32.94, -12 05 55.0,    7.49839,  355.097943,  -5.885944,  143.538829,   1.521344,  342.4910, -928.459,  148.2200,
 2052-Jan-04 19:00, , , 21 05 43.96, -11 57 38.6,    7.73124,  355.102543,  -5.857662,  143.031186,   1.521253,  342.3228, -928.827,  147.7170,
 2052-Jan-04 20:00, , , 21 07 54.93, -11 49 18.2,    7.96760,  355.107427,  -5.828813,  142.523549,   1.521162,  342.1562, -929.194,  147.2134,
